Number_1,Number_2,Number_3,Number_4,Number_5,Joker
5,12,20,23,45,3
20,27,29,30,40,20
5,13,22,32,36,16
19,29,33,34,37,18
6,26,27,33,34,20
9,11,23,31,41,20
6,13,14,34,38,19
8,18,32,34,45,6
8,12,23,24,36,2
8,18,22,39,42,4
5,7,10,26,36,8
4,7,28,30,34,12
7,25,27,31,36,10
13,16,17,28,43,1
7,18,21,26,37,11
15,16,18,21,34,9
10,33,37,38,39,10
9,21,23,36,40,16
10,11,13,31,40,13
2,18,28,32,42,3
4,13,29,35,39,10
16,18,19,22,34,16
5,12,17,24,26,19
6,8,17,26,45,14
8,14,17,41,45,4
13,28,32,35,38,2
1,17,18,20,21,17
11,20,21,40,41,10
9,13,16,32,39,1
12,34,35,38,43,15
2,8,18,32,37,19
2,10,19,24,32,12
26,32,38,40,42,18
2,15,18,20,33,15
25,26,29,30,43,8
2,10,22,27,42,6
3,4,21,36,40,9
12,17,21,22,27,8
12,14,21,24,30,6
9,13,18,24,33,14
2,26,27,32,34,2
5,9,12,27,43,11
16,21,23,36,37,13
18,21,34,37,44,7
10,20,33,37,38,10
8,16,21,25,27,7
16,17,19,27,29,13
13,18,34,35,38,11
18,21,26,36,37,11
2,20,21,31,44,3
12,19,25,33,37,11
11,15,17,20,42,18
11,13,23,32,41,19
2,11,16,22,32,20
7,22,24,25,31,16
12,21,30,31,37,1
6,16,17,19,29,18
5,18,25,34,36,2
22,31,35,37,39,11
5,20,22,27,32,4
13,14,27,29,41,19
16,18,20,21,38,10
11,19,28,34,41,4
5,16,27,30,42,5
20,22,25,28,31,20
4,7,9,42,45,17
14,23,24,25,44,5
2,8,27,38,44,11
2,5,11,12,13,10
8,15,18,24,25,15
6,9,13,28,31,4
12,27,29,31,40,10
17,19,30,36,38,9
2,5,7,22,39,15
8,22,23,27,38,7
10,11,17,18,44,17
2,4,17,23,43,6
4,9,15,19,31,8
11,16,26,32,38,8
2,21,27,31,44,7
4,24,25,40,43,11
14,17,29,36,44,2
1,14,21,23,35,3
17,24,26,27,33,1
13,26,31,36,37,16
5,22,28,34,39,5
1,3,14,28,36,2
6,19,30,37,39,9
7,12,20,40,41,6
20,29,37,44,45,15
5,7,16,31,32,12
7,15,30,32,38,18
5,17,22,28,32,9
3,6,26,33,43,9
7,18,23,35,39,16
4,5,24,33,40,18
4,9,22,41,44,17
7,11,27,38,44,12
3,18,20,26,33,5
